PERIOD_START_TIME,PLMN Name,LTE_5750A,LTE_5239A,LTE_1072A,LTE_5569A,LTE_5670A,LTE_753C,LTE_5218F,LTE_5219B,LTE_5220B,LTE_5143A,LTE_1077A,LTE_5116A,LTE_5003A,LTE_5117C,LTE_5118A,LTE_5017A,LTE_5023G,LTE_5024G,LTE_5025G,LTE_5587E,LTE_5550B,LTE_5551B,LTE_5552B,LTE_5641A,LTE_5642A,LTE_5643A,LTE_5644A,LTE_5645A,LTE_5553B,LTE_5554B,LTE_5555B,LTE_5646A,LTE_5647A,LTE_5648A,LTE_5649A,LTE_5650A,LTE_5060I,LTE_5574F,LTE_1094B,LTE_5812D,LTE_5575A,LTE_5577A,LTE_5578A,LTE_5579A,LTE_5580A,LTE_5581B,LTE_5583B,LTE_5584B,LTE_5585B,LTE_5586B,LTE_5205B,LTE_5204C,LTE_5572D,LTE_5571E,LTE_5209D,LTE_5576A,LTE_1153D,LTE_1067C,LTE_5582B,LTE_5805D,LTE_5807D,LTE_5138A,LTE_5212A,LTE_5213A,LTE_5289D,LTE_5292D,LTE_291B,LTE_288B,LTE_5293C,LTE_5294C,LTE_5354A,LTE_1319B,LTE_5355A,LTE_1320B,LTE_5356A,LTE_1321B,LTE_5357A,LTE_1322B,LTE_5358A,LTE_1323B,LTE_5363A,LTE_1328B,LTE_5364A,LTE_1329B,LTE_5365A,LTE_1330B,LTE_5366A,LTE_1331B,LTE_5367A,LTE_1332B,LTE_5273B,LTE_5276B,LTE_5747A,LTE_5748A,LTE_5043A,LTE_5124A,LTE_5035A,LTE_5123A,LTE_5036A,LTE_5058C,LTE_5125A,LTE_5048B,LTE_5126A,LTE_5049C,LTE_5084B,LTE_5240A,LTE_5082A,LTE_5127A,LTE_5078B,LTE_5114A,LTE_1078A,LTE_5115A,LTE_1079A,LTE_5316A,LTE_5317A,LTE_1096C,LTE_5198B,LTE_5251A,LTE_5250A,LTE_5190A,LTE_5191B,LTE_5562A,LTE_5564A,LTE_5565A,LTE_5567A,LTE_1091A,LTE_1092A,LTE_1081A,LTE_5800E,LTE_5801E,LTE_5802B,LTE_5803B,LTE_5804C,LTE_1082A,LTE_5242B,LTE_5318C,LTE_5671B,LTE_5320B,LTE_5674B,LTE_5324A,LTE_1114A,LTE_5323A,LTE_5326B,LTE_5137A,LTE_5134A,LTE_5471A,LTE_5472A,LTE_5473A,LTE_5474A,LTE_5475A,LTE_5476A,LTE_5477A,LTE_5478A,LTE_5479A,LTE_5207B,LTE_5208A,LTE_139D,LTE_140B,LTE_5427B,LTE_5432B,LTE_5441B,LTE_5444B,LTE_5541B,LTE_5544B,LTE_1073A,LTE_1074A,LTE_1075A,LTE_1084A,LTE_1085B,LTE_5121A,LTE_5014A,LTE_5072B,LTE_5073A,LTE_5076B,LTE_5663B,LTE_5662A,LTE_755A,LTE_750A,LTE_751A,LTE_752A,LTE_7001A,LTE_7002A,LTE_7003A,LTE_7004A,LTE_7005A,LTE_7006A,LTE_7007A,LTE_7008A,LTE_7021A,LTE_7022A,LTE_7023A,LTE_7024A,LTE_7009A,LTE_7010A,LTE_7011A,LTE_7012A,LTE_7013A,LTE_7400A,LTE_7650A,LTE_7651A,LTE_7652A,LTE_7653A,LTE_7654A,LTE_7655A,LTE_7656A,LTE_7657A,LTE_7658A
2018/12/30,PLMN,92.25,94.76,267256692,97.85,70.71,82515276,99.87,83514327,99.49,42.02,1580966,277361424,99.33,99.85,113333195,99.93,99.65,99.66,0.34,0,1157,6621,0,44305871,72668,414194,47648,67784635,92.39,0,,99.94,99.57,99.67,99.68,99.94,99.8,99.21,2146358,9.3700602606080367188887169242992249,7623799.27,232.466666666666666666666666666666666667,0,0,6865975.53333333333333333333333333333333,0.72,0,,,0.8,700397,99.88,0.32,0.1,99.58,757591.27,64.9817887066822394501301623562745975403,12626.52,0.06,151.58,361.13,2.5,39012856.351,4156876.687,2457.953,15295.818,221272,39260,8.211,6.802,1980.039,4447.835,4976.595,8264.618,5977.284,64387.298,7963.065,21374.527,7616.183,21744016.223,70.97,18581.768,227.256,1950.406,189.561,11874.562,420.945,4117.06,262.191,3064505.627,7.7,5.5,2.02,0.66,99.79,58639619,99.82,58654592,99.97,96.15,31050026,99.09,32007351,97.03,72.96,8314235,98.37,11210352,74.17,99.65,86173301,99.65,86172960,1110331,99.53,3.519,93.06,34404,96.02,35498,96.92,0,,34404,96.02,161653,137368,0,1960.62,2656823.75,84,307,27494.3,899,42719.9,29484.13,9346.52,4.69,0,28676.557,1914624,99.97,0,1.3,20.93,9.06,0.07,0,0,36.81,2.56,8.76,1.63,36.76,0.43,1.05,6.06,8.98,11.65,0.51,-100.13,-98.88,4.82,13.52,10.84,13.1,15.4,3.12,0.02,819,98.29,,,,6398668.537,41392478.672,0,1285,1285,2306,8,13,7,0,1939,4988,4890,0,0,0,0,0,334,16,187,0,511,0,17,5,165,157,267,88,19,0,288
2018/12/31,PLMN,92.18,94.69,266145877,97.41,69.14,81041642,99.84,82021500,99.5,40.97,1554608,270353037,99.32,99.85,111192664,99.83,99.67,99.68,0.32,0,1155,6575,0,43482167,69121,411321,48318,66520742,91.69,0.15,,99.83,99.29,99.04,99.61,99.85,99.68,99.06,2085691,8.697333535262349943634331831350512,7562053.67,230.216666666666666666666666666666666667,0.1,0,6846053.53333333333333333333333333333333,0.73,0,0,,0.8,653262,99.87,0.31,0.1,99.59,715769.82,65.8606100199823027035150756735784270876,11929.5,0.06,141.49,825.38,2.43,38535346.178,4238683.183,2538.167,15304.177,217755,40355,7.937,6.547,1936.67,4370.292,5583.659,7350.97,4662.524,53627.727,6307.134,14057.332,7714.169,21437783.559,60.694,17746.045,280.776,2748.274,170.043,11861.128,519.847,4651.178,262.587,3159242.612,7.7,5.5,2.01,0.67,99.81,56621757,99.82,56631158,99.98,98.21,30567661,99.08,30843397,99.12,72.81,7908849,98.38,10685857,74.01,99.67,83190107,99.67,83189895,1049565,99.53,3.489,93.09,33926,96.16,35043,96.81,0,,33926,96.16,150824,134993,0,1972.19,2789408.27,73,290,27488.8,939,42670.4,29261.11,9281.8,3.48,0,21084.18,1862121,99.97,0,1.38,20.77,8.91,0.07,0,0,36.85,2.39,8.4,1.71,36.57,0.44,1.09,6.06,9.21,11.63,0.52,-100.07,-98.96,4.71,13.57,10.79,13,15.4,3.13,0.02,765,98.17,,,,6455985.42,40886354.877,0,1283,1283,2304,8,8,5,0,4214,1844,4545,0,0,0,0,0,362,20,162,0,465,0,15,5,142,155,233,77,22,0,310
